County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
Puerto Rico,72001,25096,3141
"Randolph County, Georgia",13243,25425,3140
"Jackson County, South Dakota",46071,26686,3139
"East Carroll Parish, Louisiana",22035,28321,3138
"Presidio County, Texas",48377,29014,3137
"Wolfe County, Kentucky",21237,29052,3136
"Issaquena County, Mississippi",28055,29271,3135
"Holmes County, Mississippi",28051,29434,3134
"McDowell County, West Virginia",54047,29980,3133
"Lake County, Tennessee",47095,30500,3132
"Owsley County, Kentucky",21189,31064,3131
"Brooks County, Texas",48047,31310,3130
"Greene County, Alabama",1063,31495,3129
"Allendale County, South Carolina",45005,31603,3128
"Claiborne Parish, Louisiana",22027,31784,3127
"Hancock County, Tennessee",47067,31995,3126
"Quitman County, Mississippi",28119,32131,3125
"Bell County, Kentucky",21013,32403,3124
"Jeff Davis County, Texas",48243,32625,3123
"Humphreys County, Mississippi",28053,32976,3122
"Knox County, Kentucky",21121,33153,3121
"Hancock County, Georgia",13141,33182,3120
"Leflore County, Mississippi",28083,33188,3119
"Dimmit County, Texas",48127,33409,3118
"Magoffin County, Kentucky",21153,33632,3117
"Lee County, Kentucky",21129,34182,3116
"Perry County, Alabama",1105,34368,3115
"Claiborne County, Mississippi",28021,34371,3114
"Marion County, South Carolina",45067,34501,3113
"Oglala Lakota County, South Dakota",46102,34769,3112
"Bienville Parish, Louisiana",22013,34992,3111
"Stewart County, Georgia",13259,35000,3110
"Hickory County, Missouri",29085,35084,3109
"Lowndes County, Alabama",1085,35160,3108
"Amite County, Mississippi",28005,35385,3107
"Sharkey County, Mississippi",28125,35741,3106
"Wilkinson County, Mississippi",28157,35930,3105
"Desha County, Arkansas",5041,36064,3104
"Tensas Parish, Louisiana",22107,36074,3103
"Jefferson County, Mississippi",28063,36207,3102
"Coahoma County, Mississippi",28027,36259,3101
"Marlboro County, South Carolina",45069,36293,3100
"Costilla County, Colorado",8023,36519,3099
"Zapata County, Texas",48505,36527,3098
"Bullock County, Alabama",1011,36723,3097
"Wayne County, Mississippi",28153,36791,3096
"Dallas County, Alabama",1047,36810,3095
"Fulton County, Kentucky",21075,36834,3094
"Quitman County, Georgia",13239,36838,3093
"Lee County, Arkansas",5077,36860,3092
"Jenkins County, Georgia",13165,36906,3091
"Morehouse Parish, Louisiana",22067,36981,3090
"Macon County, Georgia",13193,37177,3089
"Jefferson Davis County, Mississippi",28065,37183,3088
"Harlan County, Kentucky",21095,37198,3087
"Lafayette County, Arkansas",5073,37237,3086
"Madison Parish, Louisiana",22065,37267,3085
"Bolivar County, Mississippi",28011,37315,3084
"Concordia Parish, Louisiana",22029,37349,3083
"McCreary County, Kentucky",21147,37355,3082
"Tallahatchie County, Mississippi",28135,37383,3081
"Webster Parish, Louisiana",22119,37396,3080
"Knott County, Kentucky",21119,37736,3079
"Sierra County, New Mexico",35051,37840,3078
"Luna County, New Mexico",35029,37917,3077
"Sumter County, Alabama",1119,37981,3076
"Lincoln Parish, Louisiana",22061,38035,3075
"Starr County, Texas",48427,38182,3074
"Tunica County, Mississippi",28143,38402,3073
"Atkinson County, Georgia",13003,38438,3072
"Norton City, Virginia",51720,38497,3071
"Edwards County, Texas",48137,38500,3070
"Stone County, Arkansas",5137,38531,3069
